seq,timestamp_ms,ax,ay,az,gx,gy,gz
216,137691,3417,5633,-4780,-6,0,12
217,137703,3440,5626,-4746,-7,-1,14
218,137712,3424,5636,-4738,-10,-2,11
219,137723,3424,5639,-4725,-5,-2,11
220,137733,3426,5635,-4737,4,-4,12
221,137744,3434,5637,-4761,6,-2,11
222,137754,3423,5626,-4793,4,-1,7
223,137765,3429,5622,-4833,1,0,4
224,137775,3442,5673,-4814,-12,5,0
225,137786,3416,5666,-4759,-29,10,0
226,137796,3400,5625,-4681,-17,2,5
227,137812,3457,5614,-4745,-5,3,7
228,137835,3464,5620,-4799,-2,4,-6
229,137857,3377,5617,-4697,-23,7,-4
230,137862,3393,5601,-4693,-12,8,3
231,137871,3422,5609,-4741,3,6,2
232,137883,3424,5610,-4792,6,8,-2
233,137893,3424,5630,-4807,4,7,-3
234,137904,3418,5653,-4804,-4,8,-1
235,137914,3392,5646,-4754,-13,9,4
236,137925,3393,5610,-4702,-11,6,7
237,137936,3413,5589,-4690,-3,6,9
238,137947,3439,5611,-4726,11,6,7
239,137996,3426,5606,-4709,-6,11,8
240,138006,3425,5602,-4676,6,8,9
241,138018,3402,5620,-4691,21,6,8
242,138030,3439,5606,-4789,31,2,13
243,138041,3445,5686,-4796,35,3,8
244,138051,3428,5629,-4794,26,6,13
245,138062,3470,5595,-4809,19,3,16
246,138072,3492,5631,-4772,14,4,10
247,138088,3470,5672,-4743,12,7,0
248,138107,3411,5639,-4787,16,4,-2
249,138124,3429,5640,-4764,3,6,-3
250,138144,3426,5648,-4764,-2,6,-6
251,138157,3458,5627,-4762,4,5,-6
252,138167,3457,5642,-4769,12,4,-10
253,138178,3443,5653,-4766,14,4,-16
254,138189,3425,5639,-4810,10,4,-20
255,138200,3435,5629,-4805,3,5,-21
256,138211,3438,5631,-4790,-2,4,-25
257,138220,3432,5645,-4800,-5,5,-32
258,138238,3403,5625,-4763,-15,3,-28
259,138255,3429,5609,-4768,-9,1,-29
260,138281,3405,5608,-4781,-10,3,-31
261,138291,3401,5602,-4780,-8,1,-32
262,138305,3426,5583,-4780,-10,2,-31
263,138317,3430,5640,-4802,-18,0,-35
264,138329,3408,5659,-4806,-18,-2,-34
265,138340,3381,5648,-4785,-19,-4,-29
266,138350,3394,5632,-4757,-21,-8,-28
267,138362,3387,5616,-4752,-22,-7,-29
268,138372,3376,5624,-4761,-16,-9,-29
269,138384,3353,5660,-4748,-17,-10,-28
270,138396,3362,5599,-4826,-7,-11,-18
271,138411,3389,5591,-4818,-16,-11,-18
272,138427,3389,5626,-4741,-22,-11,-22
273,138437,3393,5627,-4740,-19,-14,-21
274,138456,3373,5679,-4801,-15,-18,-24
275,138471,3341,5661,-4785,-21,-20,-19
276,138481,3357,5673,-4768,-26,-22,-11
277,138491,3372,5685,-4788,-25,-25,-16
278,138502,3351,5683,-4763,-28,-23,-19
279,138512,3336,5678,-4712,-36,-23,-16
280,138523,3350,5660,-4702,-28,-25,-12
281,138545,3365,5635,-4781,-9,-26,-12
282,138557,3369,5660,-4817,-20,-22,-21
283,138575,3346,5654,-4796,-22,-17,-18
284,138589,3347,5663,-4708,-38,-8,-18
285,138605,3347,5685,-4677,-32,-9,-13
286,138617,3345,5673,-4691,-24,-13,-13
287,138628,3323,5682,-4740,-16,-13,-6
288,138638,3323,5682,-4740,-16,-13,-6
289,138648,3338,5671,-4745,-13,-10,-1
290,138659,3363,5631,-4762,-6,-7,3
291,138670,3334,5626,-4773,-9,-5,-1
292,138684,3301,5657,-4783,-9,-2,-4
293,138706,3288,5682,-4705,-22,3,1
294,138728,3345,5690,-4725,0,-3,8
295,138746,3330,5690,-4785,-7,2,11
296,138759,3333,5681,-4752,-18,4,14
297,138768,3344,5668,-4755,-22,3,16
298,138779,3347,5669,-4781,-21,1,15
299,138790,3322,5664,-4789,-19,2,14
300,138801,3323,5672,-4725,-23,7,19
301,138812,3324,5670,-4699,-26,4,19
302,138822,3305,5659,-4677,-15,1,20
303,138835,3303,5678,-4693,0,-2,24
304,138860,3364,5711,-4775,3,-5,29
305,138876,3373,5713,-4779,-6,-6,24
306,138888,3380,5741,-4752,-10,-4,21
307,138904,3387,5688,-4695,-2,-6,20
308,138914,3374,5706,-4687,2,-5,11
309,138925,3333,5738,-4711,6,-1,5
310,138935,3329,5741,-4724,12,4,7
311,138946,3365,5735,-4737,7,5,9
312,138962,3391,5720,-4743,-2,6,6
313,138971,3406,5715,-4749,-5,9,-1
314,138985,3361,5756,-4720,-13,16,-14
315,138998,3336,5728,-4704,-11,17,-13
316,139013,3357,5664,-4701,-3,18,-10
317,139035,3348,5681,-4771,-8,19,-22
318,139052,3323,5680,-4755,-14,17,-17
319,139064,3345,5688,-4737,-18,15,-12
